feature,threshold,normalized_gini_gain,normalized_adjacent_gap,score_margin_only,left_n,right_n,score_alpha_0,score_alpha_01,score_alpha_03,score_alpha_05,score_alpha_07,score_alpha_10,selected_score_alpha_0,selected_score_alpha_01,selected_score_alpha_03,selected_score_alpha_05,selected_score_alpha_07,selected_score_alpha_10,selected_score_margin_only
0,-0.8481971095611633,0.0007183908045976795,0.010777521170130899,0.010777521170130899,3,29,0.0007183908045976795,0.0007191650518081773,0.0007207135462291731,0.000722262040650169,0.0007238105350711646,0.0007261332767026583,False,False,False,False,False,False,False
0,-0.7938314572007732,0.008928571428571508,0.009237875288683584,0.009237875288683584,4,28,0.008928571428571508,0.008936819531507833,0.008953315737380481,0.008969811943253131,0.00898630814912578,0.009011052457934755,False,False,False,False,False,False,False
0,-0.639098446636586,0.0004629629629629983,0.0477290223248653,0.0477290223248653,5,27,0.0004629629629629983,0.000465172639922483,0.0004695919938414523,0.00047401134776042174,0.00047843070167939104,0.00048505973255784504,False,False,False,False,False,False,False
0,-0.4718195162969241,0.001602564102564208,0.013856812933025396,0.013856812933025396,6,26,0.001602564102564208,0.0016047847456624495,0.0016092260318589322,0.001613667318055415,0.0016181086042518977,0.0016247705335466218,False,False,False,False,False,False,False
0,-0.42790879708276286,0.008928571428571397,0.0023094688221708907,0.0023094688221708907,7,25,0.008928571428571397,0.008930633454305477,0.008934757505773641,0.008938881557241802,0.008943005608709965,0.00894919168591221,False,False,False,False,False,False,False
0,-0.40490794416105935,0.0,0.006158583525789086,0.006158583525789086,8,24,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
0,-0.3589062383176523,0.0027173913043480047,0.010777521170130857,0.010777521170130857,9,23,0.0027173913043480047,0.0027203199785790187,0.002726177327041047,0.0027320346755030744,0.0027378920239651025,0.002746678046658145,False,False,False,False,False,False,False
0,-0.32126847899122835,0.001136363636363713,0.003079291762894538,0.003079291762894538,10,22,0.001136363636363713,0.0011367135558822238,0.0011374133949192454,0.0011381132339562667,0.0011388130729932885,0.0011398628315488209,False,False,False,False,False,False,False
0,-0.27526677314782133,0.00027056277056281,0.013856812933025401,0.013856812933025401,11,21,0.00027056277056281,0.000270937684332643,0.000271687511872309,0.0002724373394119749,0.0002731871669516409,0.0002743119082611399,False,False,False,False,False,False,False
0,-0.21881013415818543,0.004166666666666652,0.006928406466512714,0.006928406466512714,12,20,0.004166666666666652,0.004169553502694366,0.004175327174749792,0.00418110084680522,0.004186874518860647,0.004195535026943788,False,False,False,False,False,False,False
0,-0.15608053528081223,0.012398785425101089,0.01616628175519629,0.01616628175519629,13,19,0.012398785425101089,0.01241882965096153,0.012458918102682412,0.01249900655440329,0.012539095006124172,0.012599227683705493,False,False,False,False,False,False,False
0,-0.08080501662796438,0.0009920634920637106,0.011547344110854512,0.011547344110854512,14,18,0.0009920634920637106,0.000993209061915978,0.0009955002016205133,0.0009977913413250486,0.0010000824810295836,0.001003519190586386,False,False,False,False,False,False,False
0,-0.02853035089682,0.006127450980392246,0.007698229407236342,0.007698229407236342,15,17,0.006127450980392246,0.006132168032725111,0.006141602137390843,0.006151036242056573,0.006160470346722305,0.006174621503720901,False,False,False,False,False,False,False
0,0.08438292708245183,0.015625,0.03387220939183988,0.03387220939183988,16,16,0.015625,0.01567792532717475,0.01578377598152425,0.01588962663587375,0.01599547729022325,0.0161542532717475,False,False,False,False,False,False,False
0,0.20356916494946087,0.029656862745098156,0.0100076982294072,0.0100076982294072,17,15,0.029656862745098156,0.029686542438376543,0.02974590182493332,0.0298052612114901,0.029864620598046877,0.02995365967788205,False,False,False,False,False,False,False
0,0.25793481730985096,0.04861111111111116,0.010007698229407261,0.010007698229407261,18,14,0.04861111111111116,0.048659759644170776,0.048757056710290014,0.048854353776409246,0.048951650842528484,0.04909759644170735,False,False,False,False,False,False,False
0,0.3185734295579784,0.07312753036437236,0.012317167051578112,0.012317167051578112,19,13,0.07312753036437236,0.07321760276512909,0.07339774756664255,0.07357789236815603,0.07375803716966949,0.07402825437193968,False,False,False,False,False,False,False
0,0.3813030284353517,0.03749999999999998,0.01077752117013091,0.01077752117013091,20,12,0.03749999999999998,0.03754041570438797,0.037621247113163954,0.037702078521939936,0.03778290993071591,0.03790415704387989,False,False,False,False,False,False,False
0,0.41266782787403833,0.06087662337662336,0.0007698229407236064,0.0007698229407236064,21,11,0.06087662337662336,0.060881309798746265,0.06089068264299209,0.06090005548723792,0.060909428331483745,0.060923487597852474,False,False,False,False,False,False,False
0,0.4586695337174452,0.09204545454545454,0.016166281755196278,0.016166281755196278,22,10,0.09204545454545454,0.09219425782070123,0.09249186437119462,0.092789470921688,0.0930870774721814,0.09353348729792146,False,False,False,False,False,False,False
0,0.5506729454042593,0.05102657004830913,0.017705927636643613,0.017705927636643613,23,9,0.05102657004830913,0.05111691732399128,0.05129761187535557,0.051478306426719876,0.051659000978084166,0.05193004280513061,False,False,False,False,False,False,False
0,0.600856624506158,0.08333333333333337,0.0007698229407236575,0.0007698229407236575,24,8,0.08333333333333337,0.08333974852450605,0.08335257890685145,0.08336540928919685,0.08337823967154225,0.08339748524506034,False,False,False,False,False,False,False
0,0.6426763570910735,0.04321428571428587,0.014626635873749023,0.014626635873749023,25,7,0.04321428571428587,0.04327749367645457,0.043403909600791976,0.04353032552512938,0.04365674144946678,0.04384636533597289,False,False,False,False,False,False,False
0,0.7723175281043114,0.07852564102564097,0.03310238645111623,0.03310238645111623,26,6,0.07852564102564097,0.0787855796371962,0.07930545686030668,0.07982533408341717,0.08034521130652765,0.08112502714119336,False,False,False,False,False,False,False
0,1.2720633324940513,0.03749999999999998,0.1508852963818322,0.1508852963818322,27,5,0.03749999999999998,0.03806581986143185,0.03919745958429559,0.040329099307159326,0.041460739030023064,0.04315819861431868,False,False,False,False,False,False,False
0,1.7864460432885119,0.008928571428571508,0.03849114703618169,0.03849114703618169,28,4,0.008928571428571508,0.008962938524139527,0.009031672715275567,0.009100406906411606,0.009169141097547646,0.009272242384251705,False,False,False,False,False,False,False
0,2.087548117899903,0.03520114942528729,0.07236335642802152,0.07236335642802152,29,3,0.03520114942528729,0.035455876757541104,0.035965331422048726,0.03647478608655635,0.03698424075106397,0.0377484227478254,False,False,False,False,False,False,False
1,-0.7366367663440809,0.0007183908045976795,0.010591900311526499,0.010591900311526499,3,29,0.0007183908045976795,0.0007191517169763811,0.0007206735417337843,0.0007221953664911875,0.0007237171912485906,0.0007259999283846954,False,False,False,False,False,False,False
1,-0.7060608562902682,0.008928571428571175,0.0024922118380062168,0.0024922118380062168,4,28,0.008928571428571175,0.00893079661771225,0.008935246995994406,0.008939697374276561,0.008944147752558713,0.008950823319981944,False,False,False,False,False,False,False
1,-0.5997731689603474,0.02268518518518503,0.04299065420560749,0.04299065420560749,5,27,0.02268518518518503,0.022782710280373677,0.022977760470750966,0.023172810661128262,0.02336786085150555,0.023660436137071493,False,False,False,False,False,False,False
1,-0.44252563154073854,0.001602564102564208,0.024299065420560748,0.024299065420560748,6,26,0.001602564102564208,0.001606458183561093,0.001614246345554863,0.0016220345075486327,0.0016298226695424028,0.0016415049125330578,False,False,False,False,False,False,False
1,-0.3653578585477824,0.003214285714285725,0.008722741433021795,0.008722741433021795,7,25,0.003214285714285725,0.0032170894526034823,0.0032226969292389962,0.00322830440587451,0.003233911882510024,0.0032423230974632953,False,False,False,False,False,False,False
1,-0.3216779870423355,0.0,0.009968847352024926,0.009968847352024926,8,24,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
1,-0.26343815836840634,0.0027173913043480047,0.014953271028037384,0.014953271028037384,9,23,0.0027173913043480047,0.0027214546932143196,0.002729581470946949,0.002737708248679579,0.0027458350264122078,0.0027580251930111525,False,False,False,False,False,False,False
1,-0.22412627401350416,0.001136363636363713,0.0018691588785046862,0.0018691588785046862,10,22,0.001136363636363713,0.001136576040781725,0.0011370008496177488,0.0011374256584537727,0.0011378504672897964,0.001138487680543832,False,False,False,False,False,False,False
1,-0.18918237680914662,0.00027056277056281,0.013084112149532697,0.013084112149532697,11,21,0.00027056277056281,0.00027091677792616316,0.0002716247926528696,0.00027233280737957603,0.0002730408221062824,0.00027410284419634204,False,False,False,False,False,False,False
1,-0.1571504710384856,0.004166666666666652,0.000623052959501572,0.000623052959501572,12,20,0.004166666666666652,0.004166926272066444,0.004167445482866029,0.004167964693665613,0.004168483904465198,0.004169262720664575,False,False,False,False,False,False,False
1,-0.1120146038161905,0.012398785425101089,0.018691588785046707,0.018691588785046707,13,19,0.012398785425101089,0.01242196072496109,0.012468311324681096,0.012514661924401097,0.012561012524121102,0.012630538423701109,False,False,False,False,False,False,False
1,0.004465053531667859,0.024801587301587213,0.03115264797507791,0.03115264797507791,14,18,0.024801587301587213,0.024878850813430168,0.02503337783711607,0.025187904860801972,0.02534243188448787,0.025574222420016723,False,False,False,False,False,False,False
