method,attack_success_rate,attacked_accuracy,median_min_flip_linf,datasets,seeds
cart_fixed,0.03194436923624367,0.7892959555331097,0.49563231206446207,27,30
cart_pruned,0.0336245972561234,0.8132274831230781,0.4648580796343874,27,30
cart_tuned_depth,0.038117297376104024,0.8065063415616097,0.4785030261045759,27,30
mags_binary_excluded,0.05687581146070789,0.7851185361695512,0.4161383505534786,27,30
mags_fixed,0.052484451660237956,0.7866954024545726,0.42188398638708813,27,30
mags_tuned,0.05593339050829537,0.8028591574382424,0.48193243143900955,27,30
matched_gini,0.057725443912105386,0.7849063448850684,0.4163728412018957,27,30
noise_augmented_cart,0.029353687295367425,0.7983145357865316,0.5019372280990752,27,30
