feature,point,value,class
37,0,-0.4637608776700355,1
37,1,-0.6594068382800952,0
37,2,0.19243668530634067,1
37,3,-1.140685790478485,0
37,4,-1.1892181217926083,1
37,5,-0.7514160497297874,1
37,6,0.1479487149350608,1
37,7,-0.9076294911471219,1
37,8,-0.38944574534528403,1
37,9,0.06857813143175494,1
37,10,-0.682661913701446,1
37,11,0.0003295405212689332,1
37,12,0.21468067049198034,0
37,13,0.04936741695324766,0
37,14,0.7566250368330244,1
37,15,-1.091647914046506,1
37,16,2.3131984547099593,0
37,17,-0.5431314611733413,0
37,18,-0.7564715009083419,0
37,19,-0.5946970631945975,1
37,20,2.053853809250113,1
37,21,0.08222784961385203,0
37,22,0.5988949600621235,1
37,23,-0.03050871166791358,0
37,24,1.7894537126117116,1
37,25,-0.8242145467009724,0
37,26,-0.7064225342406522,0
37,27,0.20709749372414854,0
37,28,-0.7630435874404627,1
37,29,-1.0961978201072051,1
37,30,0.610522497772799,1
37,31,-0.5309983783448106,1
42,0,-0.509008901917691,1
42,1,0.2268665366291635,0
42,2,0.00840351581056588,1
42,3,0.6676252628421232,0
42,4,-0.5028766065964673,1
42,5,1.2532594660189946,1
42,6,0.05439573071974432,1
42,7,0.006103905065107,1
42,8,-0.8455186076698465,1
42,9,-1.175896018100778,1
42,10,-1.2717131324948998,1
42,11,-0.40016065996596883,1
42,12,1.3690065402070937,0
42,13,-0.03758869909861235,0
42,14,0.8140338136363412,1
42,15,-0.742036124124195,1
42,16,-0.2683163105596575,0
42,17,0.1739754894836082,0
42,18,0.25829455015043534,0
42,19,-1.2671139110039817,1
42,20,-0.5703318551299289,1
42,21,0.4683256649023499,0
42,22,-1.4127559248830468,1
42,23,0.7933373169272105,0
42,24,-0.1839972498928303,1
42,25,0.6392633969814628,0
42,26,2.28578469073005,0
42,27,-0.2897793441839407,0
42,28,-0.512075049578303,1
42,29,-1.1597987428825656,1
42,30,0.5250493966236701,1
42,31,0.025267327943931352,1
