dataset,seed,method,eps,attack_success_rate,attacked_accuracy,median_min_flip_linf,reachable_fraction
adult,0,cart_fixed,0.05,0.0028571428571428,0.8476190476190476,0.9113749103947472,1.0
adult,0,cart_pruned,0.05,0.0038095238095238,0.8552380952380952,0.9113749103947472,1.0
adult,0,cart_tuned_depth,0.05,0.019047619047619,0.839047619047619,0.9113749103947472,1.0
adult,0,mags_binary_excluded,0.05,0.0038095238095238,0.84,0.9113749042027336,1.0
adult,0,mags_fixed,0.05,0.0038095238095238,0.8485714285714285,0.9113749042027336,1.0
adult,0,mags_tuned,0.05,0.0038095238095238,0.8457142857142858,0.9113749042027336,1.0
adult,0,matched_gini,0.05,0.0038095238095238,0.8428571428571429,0.9113749042027336,1.0
adult,0,noise_augmented_cart,0.05,0.0028571428571428,0.8523809523809524,0.9165894337901044,1.0
adult,1,cart_fixed,0.05,0.0009523809523809,0.8638095238095238,1.1235901652305555,0.940952380952381
adult,1,cart_pruned,0.05,0.0171428571428571,0.8666666666666667,1.1235901652305555,1.0
adult,1,cart_tuned_depth,0.05,0.0009523809523809,0.8638095238095238,1.1235901652305555,0.940952380952381
adult,1,mags_binary_excluded,0.05,0.0095238095238095,0.8504761904761905,1.1235901486955946,1.0
adult,1,mags_fixed,0.05,0.0057142857142857,0.8457142857142858,1.1235901486955946,0.9714285714285714
adult,1,mags_tuned,0.05,0.0085714285714285,0.8514285714285714,1.1235901486955946,1.0
adult,1,matched_gini,0.05,0.0085714285714285,0.8514285714285714,1.1235901486955946,1.0
adult,1,noise_augmented_cart,0.05,0.0019047619047619,0.8580952380952381,1.0234961746662092,0.9961904761904762
adult,2,cart_fixed,0.05,0.0009523809523809,0.8447619047619047,0.9697142636289288,1.0
adult,2,cart_pruned,0.05,0.0009523809523809,0.8485714285714285,1.2634350525392155,1.0
adult,2,cart_tuned_depth,0.05,0.0028571428571428,0.839047619047619,0.7814455794347385,1.0
adult,2,mags_binary_excluded,0.05,0.0057142857142857,0.8457142857142858,0.9697142579996932,1.0
